 110.00000000 -130.00000000 -38.26350247 
 110.00000000 -129.50000000 -38.26354566 
 110.00000000 -129.00000000 -38.26358369 
 110.00000000 -128.50000000 -38.26361634 
 110.00000000 -128.00000000 -38.26364327 
 110.00000000 -127.50000000 -38.26366422 
 110.00000000 -127.00000000 -38.26367979 
 110.00000000 -126.50000000 -38.26368808 
 110.00000000 -126.00000000 -38.26371332 
 110.00000000 -125.50000000 -38.26371810 
 110.00000000 -125.00000000 -38.26371562 
 110.00000000 -124.50000000 -38.26370722 
 110.00000000 -124.00000000 -38.26375261 
 110.00000000 -123.50000000 -38.26375055 
 110.00000000 -123.00000000 -38.26374018 
 110.00000000 -122.50000000 -38.26372044 
 110.00000000 -122.00000000 -38.26371255 
 110.00000000 -121.50000000 -38.26368025 
 110.00000000 -121.00000000 -38.26363757 
 110.00000000 -120.50000000 -38.26358434 
 110.00000000 -120.00000000 -38.26352069 
 110.50000000 -130.00000000 -38.26345917 
 110.50000000 -129.50000000 -38.26350160 
 110.50000000 -129.00000000 -38.26353890 
 110.50000000 -128.50000000 -38.26357098 
 110.50000000 -128.00000000 -38.26359749 
 110.50000000 -127.50000000 -38.26361819 
 110.50000000 -127.00000000 -38.26363373 
 110.50000000 -126.50000000 -38.26364211 
 110.50000000 -126.00000000 -38.26366996 
 110.50000000 -125.50000000 -38.26367553 
 110.50000000 -125.00000000 -38.26367474 
 110.50000000 -124.50000000 -38.26370327 
 110.50000000 -124.00000000 -38.26370470 
 110.50000000 -123.50000000 -38.26369919 
 110.50000000 -123.00000000 -38.26370641 
 110.50000000 -122.50000000 -38.26369155 
 110.50000000 -122.00000000 -38.26366710 
 110.50000000 -121.50000000 -38.26363371 
 110.50000000 -121.00000000 -38.26358954 
 110.50000000 -120.50000000 -38.26353592 
 110.50000000 -120.00000000 -38.26347094 
 111.00000000 -130.00000000 -38.26341941 
 111.00000000 -129.50000000 -38.26346128 
 111.00000000 -129.00000000 -38.26349844 
 111.00000000 -128.50000000 -38.26352967 
 111.00000000 -128.00000000 -38.26355561 
 111.00000000 -127.50000000 -38.26357655 
 111.00000000 -127.00000000 -38.26359094 
 111.00000000 -126.50000000 -38.26361791 
 111.00000000 -126.00000000 -38.26362730 
 111.00000000 -125.50000000 -38.26362998 
 111.00000000 -125.00000000 -38.26362698 
 111.00000000 -124.50000000 -38.26366330 
 111.00000000 -124.00000000 -38.26366432 
 111.00000000 -123.50000000 -38.26365832 
 111.00000000 -123.00000000 -38.26366706 
 111.00000000 -122.50000000 -38.26365222 
 111.00000000 -122.00000000 -38.26362803 
 111.00000000 -121.50000000 -38.26359485 
 111.00000000 -121.00000000 -38.26355112 
 111.00000000 -120.50000000 -38.26349800 
 111.00000000 -120.00000000 -38.26343364 
 111.50000000 -130.00000000 -38.26338591 
 111.50000000 -129.50000000 -38.26342599 
 111.50000000 -129.00000000 -38.26346143 
 111.50000000 -128.50000000 -38.26349199 
 111.50000000 -128.00000000 -38.26351735 
 111.50000000 -127.50000000 -38.26353799 
 111.50000000 -127.00000000 -38.26355204 
 111.50000000 -126.50000000 -38.26358061 
 111.50000000 -126.00000000 -38.26359044 
 111.50000000 -125.50000000 -38.26359366 
 111.50000000 -125.00000000 -38.26359131 
 111.50000000 -124.50000000 -38.26362909 
 111.50000000 -124.00000000 -38.26363200 
 111.50000000 -123.50000000 -38.26362768 
 111.50000000 -123.00000000 -38.26361475 
 111.50000000 -122.50000000 -38.26361699 
 111.50000000 -122.00000000 -38.26359431 
 111.50000000 -121.50000000 -38.26356199 
 111.50000000 -121.00000000 -38.26352039 
 111.50000000 -120.50000000 -38.26346782 
 111.50000000 -120.00000000 -38.26340531 
 112.00000000 -130.00000000 -38.26335505 
 112.00000000 -129.50000000 -38.26339421 
 112.00000000 -129.00000000 -38.26342866 
 112.00000000 -128.50000000 -38.26345831 
 112.00000000 -128.00000000 -38.26348356 
 112.00000000 -127.50000000 -38.26350262 
 112.00000000 -127.00000000 -38.26351724 
 112.00000000 -126.50000000 -38.26354702 
 112.00000000 -126.00000000 -38.26355713 
 112.00000000 -125.50000000 -38.26356083 
 112.00000000 -125.00000000 -38.26355909 
 112.00000000 -124.50000000 -38.26359613 
 112.00000000 -124.00000000 -38.26359897 
 112.00000000 -123.50000000 -38.26359471 
 112.00000000 -123.00000000 -38.26358191 
 112.00000000 -122.50000000 -38.26358306 
 112.00000000 -122.00000000 -38.26356047 
 112.00000000 -121.50000000 -38.26352835 
 112.00000000 -121.00000000 -38.26348703 
 112.00000000 -120.50000000 -38.26343485 
 112.00000000 -120.00000000 -38.26337282 
 112.50000000 -130.00000000 -38.26332829 
 112.50000000 -129.50000000 -38.26336659 
 112.50000000 -129.00000000 -38.26340061 
 112.50000000 -128.50000000 -38.26342902 
 112.50000000 -128.00000000 -38.26345329 
 112.50000000 -127.50000000 -38.26347162 
 112.50000000 -127.00000000 -38.26350142 
 112.50000000 -126.50000000 -38.26351501 
 112.50000000 -126.00000000 -38.26352254 
 112.50000000 -125.50000000 -38.26352483 
 112.50000000 -125.00000000 -38.26355675 
 112.50000000 -124.50000000 -38.26356348 
 112.50000000 -124.00000000 -38.26356364 
 112.50000000 -123.50000000 -38.26355584 
 112.50000000 -123.00000000 -38.26356572 
 112.50000000 -122.50000000 -38.26355080 
 112.50000000 -122.00000000 -38.26352689 
 112.50000000 -121.50000000 -38.26349437 
 112.50000000 -121.00000000 -38.26345154 
 112.50000000 -120.50000000 -38.26339955 
 112.50000000 -120.00000000 -38.26333665 
 113.00000000 -130.00000000 -38.26330914 
 113.00000000 -129.50000000 -38.26334490 
 113.00000000 -129.00000000 -38.26337666 
 113.00000000 -128.50000000 -38.26340400 
 113.00000000 -128.00000000 -38.26342740 
 113.00000000 -127.50000000 -38.26344493 
 113.00000000 -127.00000000 -38.26347492 
 113.00000000 -126.50000000 -38.26348826 
 113.00000000 -126.00000000 -38.26349567 
 113.00000000 -125.50000000 -38.26349800 
 113.00000000 -125.00000000 -38.26353016 
 113.00000000 -124.50000000 -38.26353605 
 113.00000000 -124.00000000 -38.26353553 
 113.00000000 -123.50000000 -38.26352717 
 113.00000000 -123.00000000 -38.26353739 
 113.00000000 -122.50000000 -38.26352206 
 113.00000000 -122.00000000 -38.26349779 
 113.00000000 -121.50000000 -38.26346507 
 113.00000000 -121.00000000 -38.26342216 
 113.00000000 -120.50000000 -38.26337026 
 113.00000000 -120.00000000 -38.26330756 
 113.50000000 -130.00000000 -38.26329208 
 113.50000000 -129.50000000 -38.26332645 
 113.50000000 -129.00000000 -38.26335671 
 113.50000000 -128.50000000 -38.26338335 
 113.50000000 -128.00000000 -38.26340458 
 113.50000000 -127.50000000 -38.26342210 
 113.50000000 -127.00000000 -38.26345251 
 113.50000000 -126.50000000 -38.26346556 
 113.50000000 -126.00000000 -38.26347287 
 113.50000000 -125.50000000 -38.26347517 
 113.50000000 -125.00000000 -38.26350739 
 113.50000000 -124.50000000 -38.26351333 
 113.50000000 -124.00000000 -38.26351290 
 113.50000000 -123.50000000 -38.26350475 
 113.50000000 -123.00000000 -38.26351214 
 113.50000000 -122.50000000 -38.26349671 
 113.50000000 -122.00000000 -38.26347238 
 113.50000000 -121.50000000 -38.26343964 
 113.50000000 -121.00000000 -38.26339680 
 113.50000000 -120.50000000 -38.26334505 
 113.50000000 -120.00000000 -38.26328262 
 114.00000000 -130.00000000 -38.26327921 
 114.00000000 -129.50000000 -38.26331225 
 114.00000000 -129.00000000 -38.26334105 
 114.00000000 -128.50000000 -38.26336628 
 114.00000000 -128.00000000 -38.26338620 
 114.00000000 -127.50000000 -38.26340262 
 114.00000000 -127.00000000 -38.26343404 
 114.00000000 -126.50000000 -38.26344662 
 114.00000000 -126.00000000 -38.26345365 
 114.00000000 -125.50000000 -38.26345590 
 114.00000000 -125.00000000 -38.26348748 
